save_name,game_date,gdp_trillions,population_millions,pcgdp,saved_monthly_ip,calculated_monthly_ip,required_ip_5_to_10,monthly_environment_ip_current_formula_at_10pct,months_5_to_10_current_formula,years_5_to_10_current_formula,monthly_environment_ip_saved_snapshot_at_10pct,months_5_to_10_saved_snapshot,years_5_to_10_saved_snapshot,old_stored_sustainability,migrated_score
Appeasesave00206_2041-11-3.gz,11/3/2041 12:16:13 AM,73.1653719064995,925.7479,79033.79732916434,713.2737,768.2364050182447,9158.711215239131,76.82364050182447,119.21735491071426,9.934779575892856,71.32737,128.4038822017289,10.700323516810741,0.2439803,3.998691574688612
Appeasesave00215_2044-10-1.gz,10/1/2044 12:00:00 AM,97.33742594941691,928.1565,104871.78180556501,955.9808,1022.0429724688776,12184.525978282356,102.20429724688776,119.21735491071428,9.934779575892856,95.59808000000001,127.45576039060988,10.621313365884157,0.1939803,5.055162663425101
Appeasesave00220_2046-9-8.gz,9/8/2046 12:00:00 AM,121.381689336544,934.59,129876.9399806803,1203.674,1274.5077380337123,15194.344134161673,127.45077380337123,119.21735491071426,9.934779575892856,120.3674,126.23305092709215,10.519420910591013,0.1939803,5.055162663425101
Appeasesave00224_2047-10-1.gz,10/1/2047 12:00:00 AM,140.12490587454002,939.4911,149149.79596351687,1400.145,1471.3115116826702,17540.586667249245,147.13115116826702,119.21735491071429,9.934779575892858,140.0145,125.27692965549457,10.43974413795788,0.1939803,5.055162663425101
Appeasesave00226_2048-3-10.gz,3/10/2048 2:53:29 AM,147.930753842672,942.8735,156893.53221049486,1481.096,1553.2729153480561,18517.708842224907,155.32729153480562,119.21735491071428,9.934779575892856,148.1096,125.02706672778069,10.418922227315058,0.1939803,5.055162663425101
Autosave.gz,2/16/2049 12:00:00 AM,168.552322787993,950.0291,177418.0630761658,1695.231,1769.7993892739266,21099.08019118351,176.97993892739268,119.21735491071428,9.934779575892856,169.5231,124.46138721615822,10.371782268013185,0.09398031,10.0
Appeasesave00227_2049-2-16.gz,2/16/2049 12:00:00 AM,168.552322787993,950.0291,177418.0630761658,1695.231,1769.7993892739266,21099.08019118351,176.97993892739268,119.21735491071428,9.934779575892856,169.5231,124.46138721615822,10.371782268013185,0.09398031,10.0
Exitsave.gz,2/16/2049 12:00:00 AM,168.552322787993,950.0291,177418.0630761658,1695.231,1769.7993892739266,21099.08019118351,176.97993892739268,119.21735491071428,9.934779575892856,169.5231,124.46138721615822,10.371782268013185,0.09398031,10.0
