scenario,inventory_year,data_name,alias,iso,gdp_billions,population_millions,rating,stored_green_economy,calibrated_from_edgar,actual_co2_t,predicted_co2_t,actual_ch4_t,predicted_ch4_t,actual_n2o_t,predicted_n2o_t
2003,2003,2003_AFG,AFG,AFG,23.43715789443,22.733049,2.763037646268255,0.3492793751082601,True,1017233.1862135,1017233.1862134999,426435.16386673,870788.263952243,10126.383984057,24672.12741715851
2003,2003,2003_SBK,SBK,ALB,15.569912280990001,3.118088,1.4431612028601852,0.6480204389188514,True,4211594.4062815,4211594.4062815,104867.24608582,137257.94136795026,3673.2085583904,3888.942419913764
2003,2003,2003_DZA,DZA,DZA,258.89198245641,32.175818,1.2118273378166542,0.762295441764733,True,96506338.878565,96506338.87856498,1843699.307725,1451322.6293119658,15044.672098002,41120.46328147818
2003,2003,2003_AGO,AGO,AGO,74.27438596428,17.943711999999998,1.5498100350713957,0.6061303900098564,True,17329676.255447,17329676.255447,1443517.9459201,781054.6463128967,19492.647529111997,22129.69622044919
2003,2003,2003_ARG,ARG,ARG,454.73909384469,38.42428,1.3749967452987077,0.6779675976827229,True,135195351.46403998,135195351.46403998,4790668.6046654,1703624.5348449398,120398.84399406001,48268.95737423137
2003,2003,2003_ARM,ARM,ARM,12.64189473687,3.038968,1.4324390029214085,0.6525545213177305,True,3470786.9178098,3470786.9178097993,75260.338884557,133926.29703107005,1082.6944639602,3794.5466213127497
2003,2003,2003_AUS,AUS,AUS,861.81886914,19.819451,1.1135647464719878,0.8240186631221349,True,368140173.45106,368140173.45106,4844812.486724599,903279.6791723222,157324.82772866997,25592.709801486053
2003,2003,2003_ALP,ALP,AUT;LIE,419.83842198,8.122602,1.712580218975748,0.5516997203936604,True,78169285.958023,78169285.958023,387472.06760571,347549.24444196303,15322.741161756,9847.146083125843
2003,2003,2003_AZE,AZE,AZE,31.357403508930002,8.40053,0.5373411524920338,1.569018407316008,True,29775460.069116,29775460.069116,345615.30036491,406821.45860910777,6022.237685627099,11526.51141309899
2003,2003,2003_BGD,BGD,BGD,242.81438596428,140.970351,1.8771186059820935,0.5057865506775049,True,35988719.769851,35988719.769851,2089468.8202209,5928162.398549301,67283.042132376,167963.19392590915
2003,2003,2003_BAH,BAH,BHS,14.10343833,0.335618,2.561318732700695,0.37575356446884667,True,809631.62819508,809631.6281950799,8650.372982184801,13131.981900774232,109.08620236520001,372.06970294387224
2003,2003,2003_BLR,BLR,BLR,68.07524561397,9.803176,0.6430301815203749,1.3458403505949357,True,55831136.325703,55831136.325702995,563923.0270071,469491.6800749053,45132.970387496,13302.152809835245
2003,2003,2003_BGM,BGM,BEL;LUX,552.78518919,0.0,1.5231828344933434,0.6160735431336284,True,133825523.205151,133825523.20515099,536168.823075015,0.0,31182.4804114056,0.0
2003,2003,2003_BEL,BEL,BLZ,2.0801652,0.26378,2.3983802078962166,0.40025933476396647,True,149678.37346389002,149678.37346389008,10955.192836531,10499.836885638028,294.18648983697,297.49288572870523
2003,2003,2003_BEN,BEN,BEN,14.186333332980002,7.91307,1.7816953289948347,0.5314356604871738,True,2400007.9565186,2400007.9565185998,127794.56065138,336127.1928755128,4204.141154422499,9523.524000377756
2003,2003,2003_BHU,BHU,BTN,2.34222806985,0.637663,1.619788035057276,0.5814670061748022,True,495963.37500448996,495963.37500449014,29007.29138814,27552.329941060325,468.79200618223,780.6428073113225
2003,2003,2003_BOL,BOL,BOL,35.77778947374001,9.0507,1.4940067341864005,0.6273499217745849,True,9019071.2631212,9019071.263121199,624545.4394297199,396282.3400979653,15248.130205362999,11227.905557306587
2003,2003,2003_BSM,BSM,BIH,22.15492982511,0.0,0.7723163006360814,1.1463731667868793,True,15188665.899233,15188665.899232998,133821.92473886,0.0,3098.1491273109996,0.0
2003,2003,2003_BWA,BWA,BWA,16.43650877259,1.775736,1.495406629577249,0.6267994512878388,True,4135376.6297737,4135376.6297737,136568.48955243002,77738.63180445072,5222.8668290835,2202.576112371868
2003,2003,2003_BRA,BRA,BRA,1514.81159649054,180.622688,1.5640940531407654,0.6009275726408777,True,346505525.76894,346505525.7689399,16638201.88395,7850328.501157306,438872.79846112,222424.11050423433
2003,2003,2003_BRU,BRU,BRN,18.636473684880002,0.346637,1.2650495509635862,0.7325741393739895,True,6452945.7558784,6452945.755878401,74791.799331357,15547.979978255005,275.40913370345,440.52240823950166
2003,2003,2003_BUL,BUL,BGR,71.0869473687,7.804409,0.7055229484218615,1.2414295607085408,True,53462925.595959,53462925.595959,323541.40509058,371314.24406336364,11058.23285948,10520.482097172162
2003,2003,2003_BKF,BKF,BFA,13.37831578992,0.0,2.2356666773238554,0.4281432833326086,True,1206218.4815281,1206218.4815280999,481390.82554692,0.0,17126.379002326998,0.0
2003,2003,2003_CPV,CPV,CPV,1.75672263,0.473383,1.6370105722050325,0.575701734924134,True,363207.34344658,363207.34344657994,4389.5261140557,20416.98971417207,217.30831486598,578.4765281706809
2003,2003,2003_KHM,KHM,KHM,19.3542982458,13.050968,2.0003552410805385,0.47610993628180004,True,2418096.1507677,2418096.150767699,623898.40027302,541746.4036159298,10530.63062885,15349.352823308887
2003,2003,2003_CMR,CMR,CMR,37.56305263236,16.160339999999998,1.8556009411446035,0.5113517686357345,True,5735982.1071189,5735982.107118898,670302.70165503,681125.9072125941,15576.867794659,19298.405669369975
2003,2003,2003_CAN,CAN,CAN,1424.00215083,31.836482,1.155813157379812,0.7962968010993349,True,573682736.91157,573682736.91157,4568595.291353701,1444516.50946336,131680.28007134,40927.624834897484
2003,2003,2003_CAF,CAF,CAF,3.08050877259,0.0,2.271290725949731,0.42171126005626647,True,264362.08642762,264362.08642762,170348.0725482,0.0,17212.393147605,0.0
2003,2003,2003_TCD,TCD,TCD,11.48519298267,9.487833,2.926726018525525,0.33038999694037446,True,397286.35683916,397286.35683916,838682.80202116,357216.85444748454,27762.798749679,10121.059404824795
2003,2003,2003_CHL,CHL,CHL,188.91710526366,16.024752,1.401686346086164,0.6659180211675321,True,54125510.886056,54125510.886056,733965.85814506,708497.3260527747,23578.380651811,20073.9227051053
2003,2003,2003_CHN,CHN,CHN,4192.95738272598,1294.5173269999998,0.4065195664793043,1.9742573953278044,True,4773108176.8231,4773108176.823101,37465722.727387995,63561055.5348378,1329935.3203812,1800881.4838719636
2003,2003,2003_COL,COL,COL,278.92598245641005,40.937429,1.607808571007038,0.5855457203908593,True,60051208.641858,60051208.64185799,2677794.0749015003,1771070.4084133494,58689.498645495,50179.90778011859
2003,2003,2003_COD,COD,COD,27.18063157878,55.343867,2.2753797871644887,0.420985311655661,True,2319393.3340869998,2319393.334087,562720.3871148401,2231713.189064197,20871.750358065,63231.34387369828
2003,2003,2003_COS,COS,CRI,39.98803508718,0.0,1.8600376374484948,0.5101942844841303,True,6068841.7952966,6068841.7952966,151916.44020797,0.0,4280.0376720034,0.0
2003,2003,2003_CRS,CRS,HRV,67.6624035084,4.306686,1.286283898609315,0.721352964571813,True,22748739.816207998,22748739.816207998,133130.13851866,192739.45800642233,7957.4307472382,5460.90555316593
2003,2003,2003_CUB,CUB,CUB,57.082908,11.209383,1.0729071754272381,0.85258238754976,True,25797736.373358,25797736.373357996,462381.86518947,513065.38672125404,11988.111291214,14536.73082026599
2003,2003,2003_CZE,CZE,CZE,203.10064912290002,10.248912,0.8181479493068832,1.0891490862174311,True,130667372.97524999,130667372.97524996,530917.12263568,481865.5909242891,30132.45077186,13652.74401295842
