velocity_m_s,pod_mass_kg,acceleration_m_s2,efficiency_fraction,track_length_km,shot_duration_s,kinetic_energy_GJ,electrical_energy_per_shot_GJ,average_power_during_shot_MW,peak_power_MW,cadence_s,cadence_average_power_MW,cadence_average_rejected_heat_MW
2330,500,100,0.3,27.145,23.3,1.3572,4.5241,194.167,388.333,180,25.134,17.594
2330,500,100,0.5,27.145,23.3,1.3572,2.7144,116.5,233.0,180,15.08,7.54
2540,500,100,0.3,32.258,25.4,1.6129,5.3763,211.667,423.333,180,29.869,20.908
2540,500,100,0.5,32.258,25.4,1.6129,3.2258,127.0,254.0,180,17.921,8.961
2600,500,100,0.3,33.8,26.0,1.69,5.6333,216.667,433.333,180,31.296,21.907
2600,500,100,0.5,33.8,26.0,1.69,3.38,130.0,260.0,180,18.778,9.389
3000,500,100,0.3,45.0,30.0,2.25,7.5,250.0,500.0,180,41.667,29.167
3000,500,100,0.5,45.0,30.0,2.25,4.5,150.0,300.0,180,25.0,12.5
