country_id,country,iso_codes,scenario_presence,2003_vanilla_region_count,2003_vanilla_population,2003_vanilla_gdp_template_usd,2003_vanilla_global_gdp_scaling,2003_vanilla_gdp_effective_usd,2003_vanilla_gdp_per_capita,2003_imf_population,2003_us_gdp_deflator,2003_to_2022_usd_multiplier,2003_nominal_gdp_2022_usd,2003_nominal_gdp_per_capita_2022_usd,2003_ppp_gdp_2022_intl_dollars,2003_ppp_gdp_per_capita_2022_intl_dollars,2003_population_coverage,2003_nominal_coverage,2003_ppp_coverage,2022_vanilla_region_count,2022_vanilla_population,2022_vanilla_gdp_template_usd,2022_vanilla_global_gdp_scaling,2022_vanilla_gdp_effective_usd,2022_vanilla_gdp_per_capita,2022_imf_population,2022_us_gdp_deflator,2022_to_2022_usd_multiplier,2022_nominal_gdp_2022_usd,2022_nominal_gdp_per_capita_2022_usd,2022_ppp_gdp_2022_intl_dollars,2022_ppp_gdp_per_capita_2022_intl_dollars,2022_population_coverage,2022_nominal_coverage,2022_ppp_coverage,2026_vanilla_region_count,2026_vanilla_population,2026_vanilla_gdp_template_usd,2026_vanilla_global_gdp_scaling,2026_vanilla_gdp_effective_usd,2026_vanilla_gdp_per_capita,2026_imf_population,2026_us_gdp_deflator,2026_to_2022_usd_multiplier,2026_nominal_gdp_2022_usd,2026_nominal_gdp_per_capita_2022_usd,2026_ppp_gdp_2022_intl_dollars,2026_ppp_gdp_per_capita_2022_intl_dollars,2026_population_coverage,2026_nominal_coverage,2026_ppp_coverage,quality_flags,imf_source_url
MKD,North Macedonia,MKD,2003|2022|2026,1,2081411,9383040936,1.59,14919035088,7168,2026430,77.006115,1.532642193415419,7580658261,3741,24591703786,12135,complete,complete,complete,1,2080860,35912800000,1,35912800000,17259,1831712,118.022821,1,13956600000,7619,45238632000,24697,complete,complete,complete,1,1804063,46943600000,0.87,40840932000,22638,1805417,132.681448,0.8895201460267452,19217737621,10644,50982599883,28239,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
NOR,Norway,NOR,2003|2022|2026,1,4564669,121407602339,1.59,193038087719,42290,4572924,77.006115,1.532642193415419,351270190938,76815,317824149586,69501,complete,complete,complete,1,5525579,373006480000,1,373006480000,67505,5475240,118.022821,1,617321938000,112748,557347395000,101794,complete,complete,complete,1,5652989,533799200000,0.87,464405304000,82152,5661353,132.681448,0.8895201460267452,533183911012,94180,581888793156,102783,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
OMN,Oman,OMN,2003|2022|2026,1,2363796,38152046784,1.59,60661754387,25663,2525751,77.006115,1.532642193415419,37908007243,15009,99989362129,39588,complete,complete,complete,1,5354087,146033360000,1,146033360000,27275,4933850,118.022821,1,109852871000,22265,201553109000,40851,complete,complete,complete,1,5671459,203420800000,0.87,176976096000,31205,5413559,132.681448,0.8895201460267452,104230238285,19254,220058340002,40649,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PAK,Pakistan,PAK,2003|2022|2026,4,167110248,266791812865,1.59,424198982455,2538,145780000,77.006115,1.532642193415419,172433419721,1183,699212886933,4796,complete,complete,complete,4,230827901,1292598560000,1,1292598560000,5600,227000000,118.022821,1,374850411000,1651,1461844948000,6440,complete,complete,complete,4,259299792,1470815280000,0.87,1279609293600,4935,245117356,132.681448,0.8895201460267452,,,1599088146270,6524,complete,missing; missing PAK,complete,"2026: pop=complete, nominal=missing, ppp=complete",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PAL,Palestine,WBG,2003|2022|2026,1,3398070,5115204678,1.59,8133175438,2393,3314509,77.006115,1.532642193415419,6081524223,1835,13405578332,4045,complete,complete,complete,1,5384358,27095000000,1,27095000000,5032,5354656,118.022821,1,19165500000,3579,31080084000,5804,complete,complete,complete,1,5692790,29192240000,0.87,25397248800,4461,,132.681448,0.8895201460267452,,,,,missing; missing WBG,missing; missing WBG,missing; missing WBG,"2026: pop=missing, nominal=missing, ppp=missing",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PAN,Panama,PAN,2003|2022|2026,1,3189807,23369590643,1.59,37157649122,11649,3226535,77.006115,1.532642193415419,20849230642,6462,59046162395,18300,complete,complete,complete,1,4467252,139575040000,1,139575040000,31244,4395414,118.022821,1,76479304000,17400,159868371000,36372,complete,complete,complete,1,4625718,176132000000,0.87,153234840000,33127,4620975,132.681448,0.8895201460267452,84525594237,18292,190744479341,41278,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PNG,Papua New Guinea,PNG,2003|2022|2026,1,6123997,7143859649,1.59,11358736842,1855,5514537,77.006115,1.532642193415419,8411879091,1525,18722985398,3395,complete,complete,complete,1,9346370,34618320000,1,34618320000,3704,12028972,118.022821,1,31653189000,2631,39211157000,3260,complete,complete,complete,1,10947848,42329760000,0.87,36826891200,3364,13071682,132.681448,0.8895201460267452,30602353720,2341,46348572631,3546,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PRY,Paraguay,PRY,2003|2022|2026,1,5326436,21672514620,1.59,34459298246,6469,5364666,77.006115,1.532642193415419,11788115122,2197,56799633860,10588,complete,complete,complete,1,7332478,94647520000,1,94647520000,12908,6284020,118.022821,1,41841202000,6658,110233470000,17542,complete,complete,complete,1,7095280,120068960000,0.87,104459995200,14722,6460159,132.681448,0.8895201460267452,53853419412,8336,134176275577,20770,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PER,Peru,PER,2003|2022|2026,2,27580490,87084795322,1.59,138464824562,5020,27255000,77.006115,1.532642193415419,89779005588,3294,231342681918,8488,complete,complete,complete,2,33779525,452069200000,1,452069200000,13383,33397000,118.022821,1,248178703000,7431,566823562000,16972,complete,complete,complete,2,34922148,565885760000,0.87,492320611200,14098,34753052,132.681448,0.8895201460267452,338818020811,9749,621848417582,17893,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PHL,Philippines,PHL,2003|2022|2026,3,84731834,172892397661,1.59,274898912281,3244,81910000,77.006115,1.532642193415419,133399843116,1629,453119756148,5532,complete,complete,complete,3,112965184,1006598560000,1,1006598560000,8911,110940000,118.022821,1,404353259000,3645,1154428429000,10406,complete,complete,complete,3,117724472,1300385680000,0.87,1131335541600,9610,115299115,132.681448,0.8895201460267452,455631967921,3952,1398824493772,12132,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
