country_id,country,iso_codes,2003_vanilla_gdp_per_capita,2003_nominal_gdp_per_capita_2022_usd,2003_ppp_gdp_per_capita_2022_intl_dollars,2022_vanilla_gdp_per_capita,2022_nominal_gdp_per_capita_2022_usd,2022_ppp_gdp_per_capita_2022_intl_dollars,2026_vanilla_gdp_per_capita,2026_nominal_gdp_per_capita_2022_usd,2026_ppp_gdp_per_capita_2022_intl_dollars,quality_flags,imf_source_url
NZL,New Zealand,NZL,25031,31358,41214,46593,48165,52354,43247,46276,51866,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
NIC,Nicaragua,NIC,3026,1548,4934,6049,2346,7873,6883,3166,9083,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
NER,Niger,NER,701,410,1169,1248,593,1785,1622,731,1986,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
NGA,Nigeria,NGA,2393,1631,5596,5111,2893,8304,5005,1384,8890,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PRK,North Korea,PRK,1952,,,1560,,,1305,,,"2003: pop=missing, nominal=missing, ppp=missing | 2022: pop=missing, nominal=missing, ppp=missing | 2026: pop=missing, nominal=missing, ppp=missing",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
MKD,North Macedonia,MKD,7168,3741,12135,17259,7619,24697,22638,10644,28239,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
NOR,Norway,NOR,42290,76815,69501,67505,112748,101794,82152,94180,102783,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
OMN,Oman,OMN,25663,15009,39588,27275,22265,40851,31205,19254,40649,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PAK,Pakistan,PAK,2538,1183,4796,5600,1651,6440,4935,,6524,"2026: pop=complete, nominal=missing, ppp=complete",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PAL,Palestine,WBG,2393,1835,4045,5032,3579,5804,4461,,,"2026: pop=missing, nominal=missing, ppp=missing",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PAN,Panama,PAN,11649,6462,18300,31244,17400,36372,33127,18292,41278,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PNG,Papua New Guinea,PNG,1855,1525,3395,3704,2631,3260,3364,2341,3546,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PRY,Paraguay,PRY,6469,2197,10588,12908,6658,17542,14722,8336,20770,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PER,Peru,PER,5020,3294,8488,13383,7431,16972,14098,9749,17893,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PHL,Philippines,PHL,3244,1629,5532,8911,3645,10406,9610,3952,12132,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
POL,Poland,POL,12405,8765,20572,36759,18860,47215,40862,27874,53187,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PLS,Polynesian States,WSM+TON,3115,2996,5657,5857,4705,6452,6241,5962,7797,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PRT,Portugal,PRT,21793,24206,36013,36446,24559,44079,39483,31519,47003,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
COR,Republic of the Congo,COG,3346,1729,5549,3392,2339,6083,4932,2272,5971,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ROM,Romania,ROU,10314,4095,16982,32774,15538,42441,37740,22854,45172,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
RUS,Russia,RUS,12220,4852,20476,25924,15774,41251,37506,16479,46681,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
RWB,Rwanda-Burundi,BDI+RWA,662,295,1105,1597,665,2088,1863,771,2448,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
STP,Sao Tome and Principe,STP,1807,952,2984,4085,2412,6033,4856,4216,5970,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SAU,Saudi Arabia,SAU,33693,16902,54258,48951,38510,71957,58532,33634,70108,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SEG,Senegal,SEN,1896,1275,3179,3577,1575,4523,4168,1827,4950,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SER,Serbia,SRB,7490,4841,13930,20955,10025,26702,24923,15346,31011,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SYC,Seychelles,SYC,11506,13066,19932,30822,16820,29455,24212,15722,31894,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SLE,Sierra Leone,SLE,1364,657,2248,1714,860,3143,2766,817,3477,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SGP,Singapore,SGP,42067,36370,69953,103659,91228,144418,123497,95853,154517,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SLO,Slovakia,SVK,12800,9656,21103,34027,21323,41463,36097,27790,44001,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SLV,Slovenia,SVN,20431,22585,33633,43378,28449,50920,44697,36141,53962,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
